"仓库代码","仓库纬度","仓库经度","收件人区","avg(`目的地网点纬度`)","avg(`目的地网点经度`)",distance
"020DCF",23.131,113.536,"江海区",22.5789,113.119,74.8197107733
"020DCF",23.131,113.536,"沙溪镇",22.5077,113.328,72.535071701
"020DCF",23.131,113.536,"沙田镇",22.8716,113.629,30.3836153194
"020DCF",23.131,113.536,"洪梅镇",22.9842,113.614,18.1754388457
"020DCF",23.131,113.536,"海珠区",23.0873,113.306,24.0268710713
"020DCF",23.131,113.536,"清溪镇",22.8167,114.18,74.6431403472
"020DCF",23.131,113.536,"港口镇",22.5907,113.392,61.8832100251
"020DCF",23.131,113.536,"火炬开发区",22.5601,113.474,63.818337229
"020DCF",23.131,113.536,"番禺区",22.9879,113.38,22.5442903307
"020DCF",23.131,113.536,"白云区",23.2591,113.166,40.4229009255
"020DCF",23.131,113.536,"盐田区",22.6661,114.093,77.0146718739
"020DCF",23.131,113.536,"石岐区",22.5366,113.388,67.8334732811
"020DCF",23.131,113.536,"石排镇",23.0796,113.942,41.9284696938
"020DCF",23.131,113.536,"石碣镇",23.1046,113.807,27.8778469815
"020DCF",23.131,113.536,"石龙镇",23.098,113.861,33.449674281
"020DCF",23.131,113.536,"神湾镇",22.325,113.36,91.4514545847
"020DCF",23.131,113.536,"禅城区",23.0062,113.097,47.0209922529
"020DCF",23.131,113.536,"福田区",22.5409,114.069,85.402123715
"020DCF",23.131,113.536,"端州区",23.0803,112.485,107.672504096
"020DCF",23.131,113.536,"罗湖区",22.5565,114.116,87.2814714618
"020DCF",23.131,113.536,"花都区",23.4249,113.224,45.6609006795
"020DCF",23.131,113.536,"茶山镇",22.935,113.905,43.611813457
"020DCF",23.131,113.536,"荔湾区",23.0984,113.239,30.5988240219
"020DCF",23.131,113.536,"莞城区",23.0385,113.749,24.1013170094
"020DCF",23.131,113.536,"莞城街道",23.0385,113.749,24.1013170094
"020DCF",23.131,113.536,"萝岗区",23.1738,113.509,5.50351065327
"020DCF",23.131,113.536,"蓬江区",22.612,113.068,75.0531000636
"020DCF",23.131,113.536,"虎门镇",22.8176,113.708,39.0567826352
"020DCF",23.131,113.536,"西区街道",22.5201,113.359,70.3314609909
"020DCF",23.131,113.536,"谢岗镇",22.9641,114.136,64.1554423825
"020DCF",23.131,113.536,"越秀区",23.0587,113.324,23.133674847
"020DCF",23.131,113.536,"道滘镇",23.0044,113.675,20.0159173764
"020DCF",23.131,113.536,"金唐区",22.3804,113.54,83.4901209265
"020DCF",23.131,113.536,"金湾区",22.1313,113.383,112.300394681
"020DCF",23.131,113.536,"长安镇",22.7892,113.769,44.8871091611
"020DCF",23.131,113.536,"阜沙镇",22.6677,113.35,54.9439893847
"020DCF",23.131,113.536,"顺德区",22.8716,113.177,46.7285183654
"020DCF",23.131,113.536,"香洲区",22.271,113.539,95.6581518954
"020DCF",23.131,113.536,"高埗镇",22.8583,113.672,33.376120955
"020DCF",23.131,113.536,"高新区",22.3978,113.343,83.921673081
"020DCF",23.131,113.536,"高明区",22.8715,112.862,74.8017727527
"020DCF",23.131,113.536,"高要市",23.0463,112.555,100.81710767
"020DCF",23.131,113.536,"鹤山市",22.7592,112.969,71.2966596605
"020DCF",23.131,113.536,"麻涌镇",23.054,113.558,8.85556041244
"020DCF",23.131,113.536,"黄圃镇",22.7073,113.33,51.6376890349
"020DCF",23.131,113.536,"黄埔区",23.1005,113.477,6.92376382241
"020DCF",23.131,113.536,"黄江镇",22.9155,114.021,55.1327613328
"020DCF",23.131,113.536,"鼎湖区",23.1852,112.574,98.5654867722
"020DCF",23.131,113.536,"龙华新区",22.6685,114.018,71.3130929117
"020DCF",23.131,113.536,"龙岗区",22.6699,114.186,84.0601319873
"020DCF",23.131,113.536,"龙门县",23.1604,114.364,84.7481509203
"024DCB",22.643,113.828,"万江区",23.0261,113.706,44.4095490785
"024DCB",22.643,113.828,"万江街道",23.0471,113.738,45.8849485187
"024DCB",22.643,113.828,"东凤镇",22.7017,113.258,58.8648269917
"024DCB",22.643,113.828,"东区街道",22.5137,113.399,46.3481381537
"024DCB",22.643,113.828,"东升镇",22.6104,113.305,53.817939442
"024DCB",22.643,113.828,"东坑镇",22.9808,113.945,39.4419328972
"024DCB",22.643,113.828,"东城区",23.0216,113.772,42.5011148139
"024DCB",22.643,113.828,"东城街道",23.0281,113.783,43.0822897642
"024DCB",22.643,113.828,"东山区",23.1205,113.296,76.1122344142
"024DCB",22.643,113.828,"东莞市",23.0205,113.752,42.7059644014
